2025-04-23 22:21:37,328 INFO {'pc_timestamp': 1128.6353368759155, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.093750000000016, 'pc_adc1_c2': 14.000000000000012, 'pc_adc1_c3': 14.343750000000016, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.687499999999991, 'pc_adc2_c2': 752.3125, 'pc_adc2_c3': 13.687499999999991, 'pc_adc2_c4': 67.81250000000003, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:38,168 INFO {'pc_timestamp': 1129.4747774600983, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.187499999999991, 'pc_adc1_c2': 14.218750000000002, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.156250000000009, 'pc_adc2_c2': 752.3125, 'pc_adc2_c3': 13.437499999999991, 'pc_adc2_c4': 69.84375000000001, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:39,008 INFO {'pc_timestamp': 1130.3153471946716, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.874999999999998, 'pc_adc1_c2': 14.281249999999995, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.656250000000009, 'pc_adc2_c2': 752.6875000000001, 'pc_adc2_c3': 13.687499999999991, 'pc_adc2_c4': 68.90624999999997, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:39,851 INFO {'pc_timestamp': 1131.157765865326, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.406250000000009, 'pc_adc1_c2': 14.124999999999998, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.281249999999995, 'pc_adc2_c1': 13.312500000000005, 'pc_adc2_c2': 750.65625, 'pc_adc2_c3': 13.437499999999991, 'pc_adc2_c4': 68.59375000000001, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:40,690 INFO {'pc_timestamp': 1131.9973857402802, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.812500000000005, 'pc_adc1_c2': 14.281249999999995, 'pc_adc1_c3': 14.343750000000016, 'pc_adc1_c4': 14.093750000000016, 'pc_adc2_c1': 13.374999999999998, 'pc_adc2_c2': 750.7812500000001, 'pc_adc2_c3': 13.500000000000012, 'pc_adc2_c4': 68.43749999999996, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:41,534 INFO {'pc_timestamp': 1132.8403692245483, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.250000000000012, 'pc_adc1_c2': 13.874999999999998, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.500000000000012, 'pc_adc2_c2': 751.3125, 'pc_adc2_c3': 13.531249999999995, 'pc_adc2_c4': 67.96875000000007, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:42,375 INFO {'pc_timestamp': 1133.6820797920227, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.843750000000016, 'pc_adc1_c2': 14.343750000000016, 'pc_adc1_c3': 14.281249999999995, 'pc_adc1_c4': 14.281249999999995, 'pc_adc2_c1': 13.531249999999995, 'pc_adc2_c2': 751.15625, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 69.21875000000009, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:43,218 INFO {'pc_timestamp': 1134.5253970623016, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.218750000000002, 'pc_adc1_c2': 13.968750000000002, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.312500000000005, 'pc_adc2_c2': 751.65625, 'pc_adc2_c3': 13.562500000000005, 'pc_adc2_c4': 68.59375000000001, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:44,060 INFO {'pc_timestamp': 1135.3673758506775, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.874999999999998, 'pc_adc1_c2': 14.187499999999991, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.562500000000005, 'pc_adc2_c2': 752.625, 'pc_adc2_c3': 13.687499999999991, 'pc_adc2_c4': 67.96875000000007, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:44,903 INFO {'pc_timestamp': 1136.2101714611053, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.343750000000016, 'pc_adc1_c2': 14.093750000000016, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.187499999999991, 'pc_adc2_c2': 751.8125, 'pc_adc2_c3': 13.437499999999991, 'pc_adc2_c4': 69.37499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:45,745 INFO {'pc_timestamp': 1137.052274465561, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.937499999999991, 'pc_adc1_c2': 14.093750000000016, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.781249999999995, 'pc_adc2_c2': 751.1875, 'pc_adc2_c3': 13.750000000000012, 'pc_adc2_c4': 68.90624999999997, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:46,587 INFO {'pc_timestamp': 1137.8942115306854, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.312500000000005, 'pc_adc1_c2': 14.281249999999995, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.031249999999995, 'pc_adc2_c2': 751.34375, 'pc_adc2_c3': 13.468750000000002, 'pc_adc2_c4': 69.68749999999996, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:47,431 INFO {'pc_timestamp': 1138.737550497055, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.843750000000016, 'pc_adc1_c2': 14.062500000000005, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.750000000000012, 'pc_adc2_c2': 750.375, 'pc_adc2_c3': 13.562500000000005, 'pc_adc2_c4': 67.65624999999997, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:48,270 INFO {'pc_timestamp': 1139.576467514038, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.156250000000009, 'pc_adc1_c2': 14.250000000000012, 'pc_adc1_c3': 14.187499999999991, 'pc_adc1_c4': 14.124999999999998, 'pc_adc2_c1': 13.218750000000002, 'pc_adc2_c2': 751.8750000000001, 'pc_adc2_c3': 13.468750000000002, 'pc_adc2_c4': 68.75000000000006, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:49,111 INFO {'pc_timestamp': 1140.4175598621368, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.874999999999998, 'pc_adc1_c2': 14.218750000000002, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.250000000000012, 'pc_adc2_c1': 13.624999999999998, 'pc_adc2_c2': 752.03125, 'pc_adc2_c3': 13.531249999999995, 'pc_adc2_c4': 68.28125000000004, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:49,950 INFO {'pc_timestamp': 1141.2569181919098, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.437499999999993, 'pc_adc1_c2': 13.937499999999991, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.531249999999995, 'pc_adc2_c2': 752.0, 'pc_adc2_c3': 13.750000000000012, 'pc_adc2_c4': 67.96875000000007, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:50,799 INFO {'pc_timestamp': 1142.1057107448578, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.781249999999995, 'pc_adc1_c2': 14.406250000000009, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.656250000000009, 'pc_adc2_c2': 751.8125, 'pc_adc2_c3': 13.718750000000002, 'pc_adc2_c4': 67.50000000000006, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:51,639 INFO {'pc_timestamp': 1142.945416688919, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.062500000000005, 'pc_adc1_c2': 14.312500000000005, 'pc_adc1_c3': 14.281249999999995, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.312500000000005, 'pc_adc2_c2': 751.28125, 'pc_adc2_c3': 13.468750000000002, 'pc_adc2_c4': 68.43749999999996, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:52,478 INFO {'pc_timestamp': 1143.7850186824799, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.000000000000012, 'pc_adc1_c2': 14.281249999999995, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.843750000000016, 'pc_adc2_c2': 751.5, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 68.12499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:53,319 INFO {'pc_timestamp': 1144.6254262924194, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.093750000000016, 'pc_adc1_c2': 14.031249999999995, 'pc_adc1_c3': 14.187499999999991, 'pc_adc1_c4': 14.124999999999998, 'pc_adc2_c1': 13.250000000000012, 'pc_adc2_c2': 751.40625, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 67.81250000000003, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:54,162 INFO {'pc_timestamp': 1145.4685754776, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.874999999999998, 'pc_adc1_c2': 14.281249999999995, 'pc_adc1_c3': 14.374999999999998, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.281249999999995, 'pc_adc2_c2': 752.0625, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 68.12499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:55,000 INFO {'pc_timestamp': 1146.3068916797638, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.218750000000002, 'pc_adc1_c2': 13.812500000000005, 'pc_adc1_c3': 14.374999999999998, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.500000000000012, 'pc_adc2_c2': 752.03125, 'pc_adc2_c3': 13.687499999999991, 'pc_adc2_c4': 68.59375000000001, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:55,845 INFO {'pc_timestamp': 1147.1517581939697, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.937499999999991, 'pc_adc1_c2': 14.250000000000012, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.531249999999995, 'pc_adc2_c2': 752.375, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 68.90624999999997, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:56,685 INFO {'pc_timestamp': 1147.9922437667847, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.468750000000002, 'pc_adc1_c2': 14.093750000000016, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.250000000000012, 'pc_adc2_c1': 13.312500000000005, 'pc_adc2_c2': 752.0, 'pc_adc2_c3': 13.562500000000005, 'pc_adc2_c4': 68.59375000000001, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:57,528 INFO {'pc_timestamp': 1148.8353009223938, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.781249999999995, 'pc_adc1_c2': 14.250000000000012, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.624999999999998, 'pc_adc2_c2': 750.65625, 'pc_adc2_c3': 13.687499999999991, 'pc_adc2_c4': 67.96875000000007, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:58,369 INFO {'pc_timestamp': 1149.6758444309235, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.343750000000016, 'pc_adc1_c2': 14.000000000000012, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.124999999999998, 'pc_adc2_c1': 13.187499999999991, 'pc_adc2_c2': 751.8125, 'pc_adc2_c3': 13.531249999999995, 'pc_adc2_c4': 68.12499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:21:59,212 INFO {'pc_timestamp': 1150.5185635089874, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.906250000000009, 'pc_adc1_c2': 14.218750000000002, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.281249999999995, 'pc_adc2_c1': 13.718750000000002, 'pc_adc2_c2': 751.625, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 68.12499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:00,050 INFO {'pc_timestamp': 1151.3569600582123, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.437499999999993, 'pc_adc1_c2': 14.062500000000005, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.250000000000012, 'pc_adc2_c1': 13.531249999999995, 'pc_adc2_c2': 751.53125, 'pc_adc2_c3': 13.718750000000002, 'pc_adc2_c4': 67.96875000000007, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:00,889 INFO {'pc_timestamp': 1152.1958889961243, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.062500000000005, 'pc_adc1_c2': 14.343750000000016, 'pc_adc1_c3': 14.250000000000012, 'pc_adc1_c4': 14.250000000000012, 'pc_adc2_c1': 13.124999999999998, 'pc_adc2_c2': 751.71875, 'pc_adc2_c3': 13.468750000000002, 'pc_adc2_c4': 68.75000000000006, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:01,728 INFO {'pc_timestamp': 1153.0353484153748, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.968750000000002, 'pc_adc1_c2': 14.156250000000009, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.312500000000005, 'pc_adc2_c1': 13.593750000000016, 'pc_adc2_c2': 752.4375, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 68.12499999999999, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:02,570 INFO {'pc_timestamp': 1153.877293586731, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.312500000000005, 'pc_adc1_c2': 13.874999999999998, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.281249999999995, 'pc_adc2_c1': 13.281249999999995, 'pc_adc2_c2': 751.90625, 'pc_adc2_c3': 13.562500000000005, 'pc_adc2_c4': 67.81250000000003, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:03,412 INFO {'pc_timestamp': 1154.7186241149902, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.812500000000005, 'pc_adc1_c2': 14.343750000000016, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.156250000000009, 'pc_adc2_c1': 13.750000000000012, 'pc_adc2_c2': 750.625, 'pc_adc2_c3': 13.593750000000016, 'pc_adc2_c4': 67.81250000000003, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:04,255 INFO {'pc_timestamp': 1155.562206029892, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 14.187499999999991, 'pc_adc1_c2': 13.843750000000016, 'pc_adc1_c3': 14.218750000000002, 'pc_adc1_c4': 14.218750000000002, 'pc_adc2_c1': 13.093750000000014, 'pc_adc2_c2': 751.5, 'pc_adc2_c3': 13.562500000000005, 'pc_adc2_c4': 68.75000000000006, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
2025-04-23 22:22:05,097 INFO {'pc_timestamp': 1156.4038305282593, 'pc_redlines_armed': True, 'pc_cpu_temp': 50, 'pc_adc1_c1': 13.906250000000009, 'pc_adc1_c2': 14.250000000000012, 'pc_adc1_c3': 14.312500000000005, 'pc_adc1_c4': 14.187499999999991, 'pc_adc2_c1': 13.718750000000002, 'pc_adc2_c2': 751.53125, 'pc_adc2_c3': 13.750000000000012, 'pc_adc2_c4': 68.43749999999996, 'pc_hard_armed': False, 'pc_soft_armed': True, 'pc_state': 1040, 'pc_scr_tag': 0}
